"year","month","model","registrations","market_share"
2024,9,"VOLKSWAGEN GOLF",16,0.1
2024,9,"KIA EV9",15,0.1
2024,9,"MERCEDES-BENZ VITO TOURER",15,0.1
2024,9,"AUDI A1",14,0.1
2024,9,"HONGQI E-HS9",14,0.1
2024,9,"MG 3",14,0.1
2024,9,"PEUGEOT 308",14,0.1
2024,9,"AUDI A6",13,0.1
2024,9,"CUPRA LEON",13,0.1
2024,9,"MITSUBISHI ECLIPSE CROSS",13,0.1
2024,9,"SKODA KODIAQ IV",13,0.1
2024,9,"BMW X3",12,0.1
2024,9,"KIA PICANTO",12,0.1
2024,9,"MAZDA CX-60",12,0.1
2024,9,"TOYOTA COROLLA",12,0.1
2024,9,"FORD PUMA",11,0.1
2024,9,"HONDA CR-V",11,0.1
2024,9,"SKODA SUPERB",11,0.1
2024,9,"CUPRA TAVASCAN",10,0.1
2024,9,"FISKER OCEAN",10,0.1
2024,9,"OPEL ASTRA",10,0.1
2024,9,"VOLVO C40",10,0.1
2024,9,"VOLVO EC40",10,0.1
2024,9,"FORD FOCUS",9,0.1
2024,9,"MAZDA 3",9,0.1
2024,9,"MG MARVEL R",9,0.1
2024,9,"VOLVO XC40",9,0.1
2024,9,"AUDI A4",8,0.1
2024,9,"FORD TRANSIT",8,0.1
2024,9,"KIA SORENTO",8,0.1
2024,9,"KIA SPORTAGE",8,0.1
2024,9,"LEXUS ES",8,0.1
2024,9,"OPEL CROSSLAND",8,0.1
2024,9,"SUBARU SOLTERRA",8,0.1
2024,9,"XPENG P7",8,0.1
2024,9,"AUDI Q8 E-TRON",7,0
2024,9,"BMW X5",7,0
2024,9,"RENAULT AUSTRAL",7,0
2024,9,"AUDI A5",6,0
2024,9,"HONDA HR-V",6,0
2024,9,"LEXUS RZ",6,0
2024,9,"PORSCHE CAYENNE",6,0
2024,9,"SKODA SUPERB IV",6,0
2024,9,"TOYOTA PROACE CITY VERSO",6,0
2024,9,"TOYOTA PROACE VERSO",6,0
2024,9,"VOLVO S90",6,0
2024,9,"VOYAH FREE",6,0
2024,9,"BMW 2'ER",5,0
2024,9,"CITROEN C4",5,0
2024,9,"HONDA CIVIC",5,0
2024,9,"HYUNDAI SANTA FE",5,0
2024,9,"KIA XCEED",5,0
2024,9,"LAND ROVER DISCOVERY SPORT",5,0
2024,9,"MINI 5-DØRS",5,0
