"year","month","country","brand","registrations"
2024,5,"spain","TESLA",1112
2024,6,"spain","TESLA",1638
2024,7,"spain","TESLA",551
2024,8,"spain","TESLA",549
2024,9,"spain","TESLA",2894
2024,10,"spain","TESLA",566
2023,1,"belgium","TESLA",609
2023,2,"belgium","TESLA",812
2023,3,"belgium","TESLA",3045
2023,4,"belgium","TESLA",868
2023,5,"belgium","TESLA",995
2023,6,"belgium","TESLA",1868
2023,7,"belgium","TESLA",1235
2023,8,"belgium","TESLA",1505
2023,9,"belgium","TESLA",1128
2023,10,"belgium","TESLA",1104
2023,11,"belgium","TESLA",1460
2023,12,"belgium","TESLA",1383
2024,1,"belgium","TESLA",1826
2024,2,"belgium","TESLA",2272
2024,3,"belgium","TESLA",3121
2024,4,"belgium","TESLA",1276
2024,5,"belgium","TESLA",1261
2024,6,"belgium","TESLA",2505
2024,7,"belgium","TESLA",1088
2024,8,"belgium","TESLA",1247
2024,9,"belgium","TESLA",2013
2024,10,"belgium","TESLA",1373
2023,1,"china","TESLA",26843
2023,2,"china","TESLA",33923
2023,3,"china","TESLA",76663
2023,4,"china","TESLA",39956
2023,5,"china","TESLA",42508
2023,6,"china","TESLA",74212
2023,7,"china","TESLA",31423
2023,8,"china","TESLA",64694
2023,9,"china","TESLA",43507
2023,10,"china","TESLA",28626
2023,11,"china","TESLA",65504
2023,12,"china","TESLA",75805
2024,1,"china","TESLA",39881
2024,2,"china","TESLA",30141
2024,3,"china","TESLA",62398
2024,4,"china","TESLA",31421
2024,5,"china","TESLA",55215
2024,6,"china","TESLA",59261
2024,7,"china","TESLA",46227
2024,8,"china","TESLA",63456
2024,9,"china","TESLA",72200
2024,10,"china","TESLA",40485
