"year","month","brand","ytd_electric_registrations","ytd_hybrid_registrations","ytd_plugin_registrations","ytd_diesel_plugin_registrations","ytd_registrations"
2023,6,"KIA",600,335,4909,0,5844
2023,6,"SUZUKI",0,5028,0,0,5028
2023,6,"GEELY",4492,0,0,0,4492
2023,6,"TESLA",3298,0,0,0,3298
2023,6,"MG",689,0,1963,0,2652
2023,6,"MERCEDES_BENZ",773,0,516,71,1360
2023,6,"SKODA",908,0,46,0,954
2023,6,"LEXUS",21,605,284,0,910
2023,6,"BMW",163,0,546,0,709
2023,6,"VOLVO",250,0,357,0,607
2023,6,"SERES",565,0,0,0,565
2023,6,"ORA",486,0,0,0,486
2023,6,"SKYWELL",480,0,0,0,480
2023,6,"NISSAN",0,476,0,0,476
2023,6,"HONDA",0,385,0,0,385
2023,6,"GENESIS",369,0,0,0,369
2023,6,"AIWAYS",368,0,0,0,368
2023,6,"LEAPMOTOR",320,0,0,0,320
2023,6,"AUDI",265,2,37,0,304
2023,6,"VOLKSWAGEN",302,0,0,0,302
2023,6,"WEY",0,0,276,0,276
2023,6,"LYNKCO",0,0,230,0,230
2023,6,"FIAT",207,0,0,0,207
2023,6,"MAXUS",181,0,0,0,181
2023,6,"RENAULT",0,127,0,0,127
2023,6,"CITROEN",117,0,0,0,117
2023,6,"VOYAH",100,0,0,0,100
2023,6,"JAC",96,0,0,0,96
2023,6,"POLESTAR",88,0,0,0,88
2023,6,"PEUGEOT",45,0,40,0,85
2023,6,"EVEASY",81,0,0,0,81
2023,6,"HONGQI",79,0,0,0,79
2023,6,"MITSUBISHI",0,0,61,0,61
2023,6,"DS_AUTOMOBILES",7,0,43,0,50
2023,6,"MINI",9,0,40,0,49
2023,6,"OPEL",45,0,0,0,45
2023,6,"PORSCHE",22,0,9,0,31
2023,6,"LEVC",22,0,0,0,22
2023,6,"CUPRA",0,0,21,0,21
2023,6,"LAND_ROVER",0,0,20,0,20
2023,6,"FORTHING",8,0,0,0,8
2023,6,"FERRARI",0,0,7,0,7
2023,6,"WELTMEISTER",3,0,0,0,3
2023,6,"CHERY",2,0,0,0,2
2023,6,"JAGUAR",0,0,1,0,1
2023,6,"DACIA",0,0,0,0,0
2023,6,"ASTON_MARTIN",0,0,0,0,0
2023,6,"MAZDA",0,0,0,0,0
2023,6,"FORD",0,0,0,0,0
2023,6,"BENTLEY",0,0,0,0,0
2023,6,"ALFA_ROMEO",0,0,0,0,0
2023,6,"INFINITI",0,0,0,0,0
2023,6,"ABARTH",0,0,0,0,0
2023,6,"MAN",0,0,0,0,0
2023,6,"SEAT",0,0,0,0,0
2023,6,"CADILLAC",0,0,0,0,0
2023,6,"CHEVROLET",0,0,0,0,0
2023,6,"ISUZU",0,0,0,0,0
2023,6,"JEEP",0,0,0,0,0
2023,6,"MASERATI",0,0,0,0,0
2023,6,"SUBARU",0,0,0,0,0
2023,6,"SSANGYONG",0,0,0,0,0
2023,7,"TOYOTA",636,14669,188,0,15493
2023,7,"HYUNDAI",3523,7690,0,0,11213
2023,7,"BYDAUTO",10931,0,0,0,10931
2023,7,"KIA",716,380,5936,0,7032
2023,7,"SUZUKI",0,5761,0,0,5761
2023,7,"GEELY",4847,0,0,0,4847
2023,7,"TESLA",3301,0,0,0,3301
2023,7,"MG",1036,0,2230,0,3266
2023,7,"MERCEDES_BENZ",819,0,573,77,1469
2023,7,"SKODA",1141,0,52,0,1193
2023,7,"LEXUS",28,706,321,0,1055
2023,7,"BMW",190,0,606,0,796
2023,7,"VOLVO",258,0,408,0,666
2023,7,"SERES",592,0,0,0,592
2023,7,"ORA",567,0,0,0,567
2023,7,"NISSAN",0,552,0,0,552
2023,7,"SKYWELL",499,0,0,0,499
2023,7,"HONDA",0,455,0,0,455
2023,7,"GENESIS",414,0,0,0,414
2023,7,"AIWAYS",368,0,0,0,368
2023,7,"VOLKSWAGEN",361,0,0,0,361
2023,7,"LEAPMOTOR",357,0,0,0,357
2023,7,"AUDI",293,2,40,0,335
2023,7,"WEY",0,0,309,0,309
2023,7,"LYNKCO",0,0,263,0,263
2023,7,"FIAT",252,0,0,0,252
2023,7,"MAXUS",199,0,0,0,199
2023,7,"RENAULT",0,151,0,0,151
2023,7,"CITROEN",147,0,0,0,147
2023,7,"POLESTAR",144,0,0,0,144
2023,7,"JAC",115,0,0,0,115
2023,7,"VOYAH",109,0,0,0,109
2023,7,"EVEASY",104,0,0,0,104
2023,7,"PEUGEOT",59,0,42,0,101
2023,7,"MITSUBISHI",0,0,85,0,85
2023,7,"HONGQI",80,0,0,0,80
2023,7,"MINI",10,0,44,0,54
2023,7,"DS_AUTOMOBILES",7,0,46,0,53
2023,7,"OPEL",48,0,0,0,48
2023,7,"PORSCHE",25,0,10,0,35
2023,7,"CUPRA",0,0,29,0,29
2023,7,"LAND_ROVER",0,0,25,0,25
2023,7,"LEVC",22,0,0,0,22
2023,7,"FORTHING",8,0,0,0,8
2023,7,"FERRARI",0,0,7,0,7
