"year","month","model","ytd_registrations","ytd_market_share"
2025,2,"TESLA_MODEL_Y",313,3.9
2025,2,"VW_ID.3",290,3.6
2025,2,"VW_ID.4",274,3.4
2025,2,"KIA_EV3",240,3
2025,2,"CUPRA_BORN",225,2.8
2025,2,"SONSTIGE_PKW_MIT_ELEKTROANTRIEB",4719,58.6
2025,3,"TESLA_MODEL_Y",813,5.7
2025,3,"BYD_SEAL",758,5.3
2025,3,"RENAULT_R5",729,5.1
2025,3,"BMW_X1",643,4.5
2025,3,"AUDI_Q6",579,4.1
2025,3,"SKODA_ENYAQ",532,3.8
2025,3,"VW_ID.3",482,3.4
2025,3,"BYD_SEALION",480,3.4
2025,3,"VW_ID.4",477,3.4
2025,3,"TESLA_MODEL_3",475,3.4
2025,3,"SONSTIGE_PKW_MIT_ELEKTROANTRIEB",8209,57.9
