"year","month","brand","model","ytd_registrations","ytd_market_share"
2023,6,"AUDI","Q4",968,2.9
2023,6,"DACIA","SPRING",935,2.8
2023,6,"OPEL","CORSA",902,2.7
2023,6,"VOLKSWAGEN","ID.3",729,2.2
2023,6,"MINI","MINI",569,1.7
2023,6,"POLESTAR","POLESTAR 2",559,1.7
2023,6,"PEUGEOT","2008",540,1.6
2023,6,"VOLKSWAGEN","ID.4",525,1.6
2023,6,"CUPRA","BORN",498,1.5
2023,6,"BMW","IX1",486,1.5
2023,6,"JEEP","AVENGER",481,1.5
2023,6,"MERCEDES","EQA",453,1.4
2023,6,"VOLVO","XC40",440,1.3
2023,6,"OPEL","MOKKA",393,1.2
2023,6,"VOLKSWAGEN","ID.5",389,1.2
2023,6,"FORD","MUSTANG MK-E",348,1.1
2023,6,"BMW","I4",339,1
2023,6,"HYUNDAI","KONA",336,1
2023,6,"TESLA","MODEL S",271,0.8
2023,6,"RENAULT","ZOE",270,0.8
2023,6,"MG","MARVEL R",267,0.8
2023,6,"CITROEN","C4",239,0.7
2023,6,"MERCEDES","EQB",226,0.7
2023,6,"BMW","IX",214,0.7
2023,6,"NISSAN","LEAF",211,0.6
2023,6,"BMW","IX3",194,0.6
2023,6,"SKODA","ENYAQ",187,0.6
2023,6,"TESLA","MODEL X",173,0.5
2023,6,"VOLKSWAGEN","ID BUZZ",163,0.5
2023,6,"PORSCHE","TAYCAN",162,0.5
2023,6,"TOYOTA","PROACE CITY",154,0.5
2023,6,"KIA","EV6",148,0.5
2023,6,"FIAT","DOBLO",143,0.4
2023,6,"MERCEDES","EQE",143,0.4
2023,6,"KIA","NIRO",135,0.4
2023,6,"VOLVO","C40",134,0.4
2023,6,"AUDI","Q8",133,0.4
2023,6,"HYUNDAI","IONIQ 5",118,0.4
2023,6,"CITROEN","C4 X",110,0.3
2023,6,"MG","ZS",96,0.3
2023,6,"DR","EQ1",92,0.3
2023,6,"MAZDA","MX-30",75,0.2
2023,6,"DS","DS3",69,0.2
2023,6,"NISSAN","ARIYA",64,0.2
2023,6,"MG","MG5",58,0.2
2023,6,"CITROEN","BERLINGO",55,0.2
2023,6,"AUDI","E-TRON GT",52,0.2
2023,6,"FIAT","ULYSSE",44,0.1
2023,6,"MERCEDES","EQS SUV",39,0.1
2023,6,"TOYOTA","PROACE VERSO",37,0.1
2023,6,"JAGUAR","I-PACE",32,0.1
2023,6,"MERCEDES","EQC",31,0.1
2023,6,"AUDI","E-TRON",30,0.1
2023,6,"MERCEDES","EQS",30,0.1
2023,6,"SMART","#1",30,0.1
2023,6,"LEXUS","RZ",29,0.1
2023,6,"HYUNDAI","IONIQ 6",28,0.1
2023,6,"TOYOTA","BZ4X",26,0.1
2023,6,"BMW","I7",23,0.1
2023,6,"BYD","ATTO 3",21,0.1
2023,6,"CITROEN","SPACETOURER",21,0.1
2023,6,"HONDA","E",21,0.1
2023,6,"MELEX","378",17,0.1
2023,6,"SUBARU","SOLTERRA",17,0.1
2023,6,"MERCEDES","EQV",16,0
2023,6,"PEUGEOT","RIFTER",15,0
2023,6,"ISSIMA","SAETTA",11,0
2023,6,"EAGLE BUS","JET-SH6-21",10,0
2023,6,"MELEX","N.CAR",10,0
2023,7,"TESLA","MODEL Y",5232,14.1
2023,7,"TESLA","MODEL 3",3308,8.9
2023,7,"FIAT","500",3202,8.7
2023,7,"SMART","FORTWO",2754,7.4
2023,7,"MG","MG4",1457,3.9
2023,7,"RENAULT","MEGANE",1307,3.5
2023,7,"PEUGEOT","208",1277,3.5
2023,7,"RENAULT","TWINGO",1254,3.4
2023,7,"DACIA","SPRING",1143,3.1
2023,7,"OPEL","CORSA",1065,2.9
2023,7,"AUDI","Q4",1053,2.8
2023,7,"VOLKSWAGEN","ID.3",812,2.2
2023,7,"MINI","MINI",662,1.8
2023,7,"POLESTAR","POLESTAR 2",625,1.7
2023,7,"VOLKSWAGEN","ID.4",615,1.7
2023,7,"JEEP","AVENGER",608,1.6
2023,7,"PEUGEOT","2008",586,1.6
2023,7,"BMW","IX1",565,1.5
2023,7,"CUPRA","BORN",540,1.5
2023,7,"MERCEDES","EQA",524,1.4
2023,7,"VOLVO","XC40",465,1.3
2023,7,"HYUNDAI","KONA",424,1.1
2023,7,"OPEL","MOKKA",415,1.1
2023,7,"FORD","MUSTANG MK-E",413,1.1
2023,7,"VOLKSWAGEN","ID.5",411,1.1
2023,7,"BMW","I4",399,1.1
2023,7,"MG","MARVEL R",330,0.9
2023,7,"RENAULT","ZOE",291,0.8
2023,7,"CITROEN","C4",280,0.8
2023,7,"TESLA","MODEL S",277,0.7
2023,7,"MERCEDES","EQB",259,0.7
2023,7,"SKODA","ENYAQ",241,0.7
2023,7,"BMW","IX",233,0.6
2023,7,"NISSAN","LEAF",228,0.6
2023,7,"PORSCHE","TAYCAN",225,0.6
2023,7,"BMW","IX3",219,0.6
2023,7,"MG","ZS",182,0.5
2023,7,"VOLKSWAGEN","ID BUZZ",180,0.5
2023,7,"TESLA","MODEL X",179,0.5
2023,7,"MERCEDES","EQE",173,0.5
2023,7,"KIA","EV6",166,0.4
2023,7,"AUDI","Q8",156,0.4
2023,7,"TOYOTA","PROACE CITY",154,0.4
2023,7,"FIAT","DOBLO",150,0.4
2023,7,"VOLVO","C40",148,0.4
2023,7,"KIA","NIRO",147,0.4
2023,7,"DR","EQ1",141,0.4
2023,7,"CITROEN","C4 X",137,0.4
2023,7,"HYUNDAI","IONIQ 5",120,0.3
2023,7,"SMART","#1",88,0.2
2023,7,"NISSAN","ARIYA",84,0.2
2023,7,"MG","MG5",82,0.2
2023,7,"DS","DS3",77,0.2
