"year","month","region","country","registrations"
2023,12,"EUROPE","SWEDEN",1789
2024,1,"EUROPE","SWEDEN",730
2024,2,"EUROPE","SWEDEN",1058
2024,3,"EUROPE","SWEDEN",2524
2024,4,"EUROPE","SWEDEN",1051
2024,5,"EUROPE","SWEDEN",1086
2024,6,"EUROPE","SWEDEN",2745
2024,7,"EUROPE","SWEDEN",1146
2024,8,"EUROPE","SWEDEN",1348
2024,9,"EUROPE","SWEDEN",4792
2024,10,"EUROPE","SWEDEN",1175
2024,11,"EUROPE","SWEDEN",1446
2024,12,"EUROPE","SWEDEN",2795
2025,1,"EUROPE","SWEDEN",405
2025,2,"EUROPE","SWEDEN",613
2025,3,"EUROPE","SWEDEN",911
2023,1,"EUROPE","SWITZERLAND",115
2023,2,"EUROPE","SWITZERLAND",195
2023,3,"EUROPE","SWITZERLAND",1252
2023,4,"EUROPE","SWITZERLAND",475
2023,5,"EUROPE","SWITZERLAND",919
2023,6,"EUROPE","SWITZERLAND",1374
2023,7,"EUROPE","SWITZERLAND",453
2023,8,"EUROPE","SWITZERLAND",795
2023,9,"EUROPE","SWITZERLAND",991
2023,10,"EUROPE","SWITZERLAND",310
2023,11,"EUROPE","SWITZERLAND",792
2023,12,"EUROPE","SWITZERLAND",1086
2024,1,"EUROPE","SWITZERLAND",327
2024,2,"EUROPE","SWITZERLAND",1003
2024,3,"EUROPE","SWITZERLAND",1934
2024,4,"EUROPE","SWITZERLAND",450
2024,5,"EUROPE","SWITZERLAND",521
2024,6,"EUROPE","SWITZERLAND",962
2024,7,"EUROPE","SWITZERLAND",368
2024,8,"EUROPE","SWITZERLAND",629
2024,9,"EUROPE","SWITZERLAND",1048
2024,10,"EUROPE","SWITZERLAND",260
2024,11,"EUROPE","SWITZERLAND",536
2024,12,"EUROPE","SWITZERLAND",892
2025,1,"EUROPE","SWITZERLAND",327
2025,2,"EUROPE","SWITZERLAND",248
2025,3,"EUROPE","SWITZERLAND",663
2023,1,"EUROPE","UK",579
2023,2,"EUROPE","UK",2283
2023,3,"EUROPE","UK",10493
2023,4,"EUROPE","UK",1813
2023,5,"EUROPE","UK",3439
2023,6,"EUROPE","UK",7533
2023,7,"EUROPE","UK",3141
2023,8,"EUROPE","UK",4021
2023,9,"EUROPE","UK",6427
2023,10,"EUROPE","UK",2677
2023,11,"EUROPE","UK",1648
2023,12,"EUROPE","UK",5517
2024,1,"EUROPE","UK",1581
2024,2,"EUROPE","UK",3192
2024,3,"EUROPE","UK",6995
2024,4,"EUROPE","UK",1352
2024,5,"EUROPE","UK",3152
2024,6,"EUROPE","UK",6757
2024,7,"EUROPE","UK",2462
2024,8,"EUROPE","UK",3013
2024,9,"EUROPE","UK",7656
2024,10,"EUROPE","UK",971
2024,11,"EUROPE","UK",4558
2024,12,"EUROPE","UK",8645
2025,1,"EUROPE","UK",1458
2025,2,"EUROPE","UK",3852
2025,3,"EUROPE","UK",7164
2023,1,"EUROPE","SPAIN",357
2023,2,"EUROPE","SPAIN",671
2023,3,"EUROPE","SPAIN",1046
2023,4,"EUROPE","SPAIN",318
2023,5,"EUROPE","SPAIN",1160
2023,6,"EUROPE","SPAIN",1752
2023,7,"EUROPE","SPAIN",743
2023,8,"EUROPE","SPAIN",1456
2023,9,"EUROPE","SPAIN",727
2023,10,"EUROPE","SPAIN",754
2023,11,"EUROPE","SPAIN",2470
2023,12,"EUROPE","SPAIN",1788
2024,1,"EUROPE","SPAIN",1094
2024,2,"EUROPE","SPAIN",1020
2024,3,"EUROPE","SPAIN",1487
2024,4,"EUROPE","SPAIN",893
2024,5,"EUROPE","SPAIN",1112
