"year","month","brand","registrations","hb_registrations","sdn_registrations","mpv_registrations","stv_registrations","suv_registrations","cpe_conv_registrations"
2024,4,"TESLA",105,0,4,0,0,101,0
2024,4,"TOYOTA",6,0,0,0,0,6,0
2024,4,"VOLKSWAGEN",0,0,0,0,0,0,0
2024,4,"VOLVO",32,0,0,0,0,32,0
2024,5,"AUDI",6,0,0,0,0,6,0
2024,5,"B.M.W.",112,0,40,0,0,72,0
2024,5,"BYD",380,3,53,2,0,322,0
2024,5,"CHERY",7,0,0,0,0,7,0
2024,5,"CITROEN",13,0,12,0,0,1,0
2024,5,"GAC",25,0,1,0,0,24,0
2024,5,"GREAT_WALL",13,13,0,0,0,0,0
2024,5,"HONDA",1,1,0,0,0,0,0
2024,5,"HYUNDAI",87,0,24,0,0,63,0
2024,5,"JAGUAR",0,0,0,0,0,0,0
2024,5,"KIA",4,0,0,0,0,4,0
2024,5,"LOTUS",2,0,0,0,0,2,0
2024,5,"M.G.",47,23,0,0,2,22,0
2024,5,"MAXUS",7,0,0,7,0,0,0
2024,5,"MAZDA",1,0,0,0,0,1,0
2024,5,"MERCEDES_BENZ",29,0,10,2,0,17,0
2024,5,"MINI",1,1,0,0,0,0,0
2024,5,"NISSAN",1,1,0,0,0,0,0
2024,5,"OPEL",2,0,0,2,0,0,0
2024,5,"PEUGEOT",6,0,0,0,0,6,0
2024,5,"POLESTAR",11,0,11,0,0,0,0
2024,5,"PORSCHE",6,0,6,0,0,0,0
2024,5,"ROLLS_ROYCE",3,0,0,0,0,0,3
2024,5,"SMART",0,0,0,0,0,0,0
2024,5,"TESLA",208,0,123,0,0,85,0
2024,5,"TOYOTA",3,0,0,0,0,3,0
2024,5,"VOLKSWAGEN",28,0,0,0,0,28,0
2024,5,"VOLVO",34,0,0,0,0,34,0
2024,6,"AUDI",13,0,0,0,0,13,0
2024,6,"B.M.W.",155,0,50,0,0,105,0
2024,6,"BYD",403,7,74,3,0,319,0
2024,6,"CHERY",10,0,0,0,0,10,0
2024,6,"CITROEN",11,0,7,0,0,4,0
2024,6,"GAC",18,0,0,0,0,18,0
2024,6,"GREAT_WALL",21,21,0,0,0,0,0
2024,6,"HONDA",0,0,0,0,0,0,0
2024,6,"HYUNDAI",51,0,0,0,0,51,0
2024,6,"JAGUAR",1,0,0,0,0,1,0
2024,6,"KIA",8,0,0,0,0,8,0
2024,6,"LOTUS",0,0,0,0,0,0,0
2024,6,"M.G.",37,20,0,0,1,16,0
2024,6,"MAXUS",8,0,0,8,0,0,0
2024,6,"MAZDA",0,0,0,0,0,0,0
2024,6,"MERCEDES_BENZ",64,0,19,1,0,44,0
2024,6,"MINI",0,0,0,0,0,0,0
2024,6,"NISSAN",0,0,0,0,0,0,0
2024,6,"OPEL",9,0,0,5,0,4,0
2024,6,"PEUGEOT",3,0,0,0,0,3,0
2024,6,"POLESTAR",6,0,6,0,0,0,0
2024,6,"PORSCHE",2,0,2,0,0,0,0
2024,6,"ROLLS_ROYCE",2,0,0,0,0,0,2
2024,6,"SKODA",2,0,0,0,0,2,0
2024,6,"SMART",10,0,0,0,0,10,0
2024,6,"TESLA",308,0,230,0,0,78,0
2024,6,"TOYOTA",6,0,0,0,0,6,0
2024,6,"VOLKSWAGEN",22,0,0,0,0,22,0
2024,6,"VOLVO",30,0,0,0,0,30,0
2024,7,"AUDI",21,0,0,0,0,21,0
2024,7,"B.M.W.",108,0,41,0,0,67,0
2024,7,"BYD",518,14,168,3,0,333,0
2024,7,"CHERY",13,0,0,0,0,13,0
2024,7,"CITROEN",3,0,3,0,0,0,0
2024,7,"GAC",72,0,2,0,0,70,0
2024,7,"GREAT_WALL",19,19,0,0,0,0,0
2024,7,"HONDA",1,1,0,0,0,0,0
2024,7,"HYUNDAI",75,0,3,0,0,72,0
2024,7,"KIA",7,0,0,0,0,7,0
2024,7,"LOTUS",2,0,1,0,0,1,0
2024,7,"M.G.",30,13,0,7,2,8,0
2024,7,"MAXUS",5,0,0,5,0,0,0
2024,7,"MERCEDES_BENZ",25,0,6,1,0,18,0
2024,7,"MINI",12,5,0,0,7,0,0
2024,7,"NISSAN",1,1,0,0,0,0,0
2024,7,"OPEL",4,0,0,0,0,4,0
2024,7,"PEUGEOT",7,0,0,0,0,7,0
2024,7,"POLESTAR",7,0,7,0,0,0,0
2024,7,"PORSCHE",12,0,11,0,0,0,1
2024,7,"ROLLS_ROYCE",2,0,0,0,0,0,2
2024,7,"SKODA",11,0,0,0,0,11,0
2024,7,"SMART",8,0,0,0,0,6,2
2024,7,"TESLA",174,0,100,0,0,74,0
